abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
OKLAHOMA-STATE,big-12,1,0.889,8,25.9,25.3,1.2,1.2,0.8,1.5,13,1.0,1.8,1,Oklahoma State,45.8,41.6,71.9,59.5,32.9,24.8,17.1,13.8,3.1,1.2,387.2,271.8,5.5,5.5,75.9,83.8,26.8,48.7,30.2,42.2,7.6,10.2,2.8,1.8,158.6,184.9,5.3,4.4,24.14,7.67,1.8,3.4,0.923,12,545.8,456.8,50.5,42.0,7.2,5.5,2011,3.0
KANSAS-STATE,big-12,2,0.778,7,19.6,20.3,2.1,1.1,0.7,0.7,13,0.5,1.4,3,Kansas State,22.3,36.8,57.6,63.0,12.8,23.2,6.9,11.6,1.0,2.0,151.5,263.4,4.7,6.5,68.9,69.8,27.9,31.8,46.6,33.0,10.6,7.6,2.6,1.4,185.5,131.2,4.0,4.0,11.45,6.84,1.2,2.1,0.769,10,337.0,394.6,35.8,64.4,4.9,5.7,2011,15.0
BAYLOR,big-12,3,0.667,6,29.0,24.5,2.0,2.2,1.4,1.0,13,0.5,1.2,3,Baylor,32.6,38.1,72.4,63.6,23.6,24.2,13.5,12.5,3.1,2.8,351.5,291.1,7.1,7.1,76.9,76.3,37.2,45.3,44.3,38.2,13.5,9.8,2.8,2.2,235.6,197.4,5.3,5.2,13.83,5.91,1.8,2.2,0.769,10,587.1,488.5,64.5,60.2,7.6,6.4,2011,13.0
OKLAHOMA,big-12,3,0.667,6,25.9,19.2,1.1,1.6,1.0,0.9,13,1.2,1.2,3,Oklahoma,44.8,36.5,62.6,54.2,28.1,19.8,15.8,10.1,2.2,1.4,349.4,241.5,4.9,6.2,80.9,73.1,22.1,39.5,36.1,36.6,9.0,7.5,2.3,1.2,162.9,134.7,4.5,3.7,19.75,7.82,2.2,2.1,0.769,10,512.3,376.2,45.5,43.8,6.3,5.1,2011,16.0
MISSOURI,big-12,4,0.556,5,24.3,20.7,1.2,1.3,0.6,0.7,13,0.8,1.0,5,Missouri,29.5,37.5,63.4,62.8,18.7,23.5,9.7,11.6,1.8,1.5,231.5,252.6,5.4,5.9,74.8,73.1,23.5,32.8,45.3,35.6,13.5,7.8,2.3,1.3,244.0,127.4,5.4,3.6,11.08,6.16,1.5,1.7,0.615,8,475.5,380.0,45.6,44.8,6.4,5.2,2011,
TEXAS,big-12,5,0.444,4,20.2,17.7,1.2,2.1,0.8,1.1,13,1.2,0.9,5,Texas,27.5,35.1,58.0,56.6,15.9,19.8,7.8,10.2,1.2,1.0,189.9,209.8,6.5,5.3,72.8,66.5,22.2,28.1,45.3,31.5,11.2,5.5,1.8,1.2,202.6,96.2,4.5,3.1,12.16,7.16,2.0,2.0,0.615,8,392.5,306.1,55.5,49.4,5.4,4.6,2011,
TEXAS-AM,big-12,5,0.444,4,26.5,22.1,1.7,2.2,0.7,0.6,13,1.2,0.5,6,Texas A&M,41.3,39.3,61.6,62.4,25.5,24.5,14.5,11.8,2.2,1.5,291.1,276.3,7.0,7.5,80.3,78.4,28.2,39.1,39.0,39.1,10.3,8.2,2.2,1.9,199.2,101.8,5.1,2.6,13.36,7.29,1.8,1.2,0.538,7,490.2,378.2,65.8,57.4,6.1,4.8,2011,
IOWA-STATE,big-12,6,0.333,3,21.0,22.8,1.7,1.3,1.4,1.0,13,1.3,0.8,7,Iowa State,37.2,32.7,51.4,56.7,19.2,18.5,9.8,10.3,1.3,1.3,212.3,234.0,6.8,5.5,78.6,75.3,29.4,22.7,41.4,42.6,9.5,11.2,1.5,1.8,174.2,193.5,4.2,4.5,2.12,7.35,2.7,1.8,0.462,6,386.5,427.5,52.3,44.5,4.9,5.7,2011,
TEXAS-TECH,big-12,7,0.222,2,26.2,24.7,1.6,2.0,0.7,1.2,12,0.8,0.4,7,Texas Tech,50.0,26.2,68.2,60.5,34.1,15.8,16.0,9.4,2.6,2.0,345.4,226.8,7.7,7.1,82.6,75.3,39.3,33.8,32.6,49.2,8.6,13.3,1.7,2.8,125.2,258.8,3.8,5.3,1.88,5.55,1.5,1.6,0.417,5,470.6,485.6,64.8,60.7,5.7,6.4,2011,
KANSAS,big-12,9,0.0,0,19.0,25.5,1.8,1.2,0.9,0.8,12,1.0,0.7,10,Kansas,25.1,31.2,63.5,69.5,15.9,21.7,7.8,11.6,1.3,2.3,167.4,277.3,5.8,5.2,70.3,72.2,43.8,22.3,45.3,41.0,9.5,12.8,1.7,3.2,159.4,239.1,3.5,5.8,-4.75,8.42,1.9,1.5,0.167,2,326.8,516.4,45.9,45.3,4.6,7.2,2011,
