abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
MARSHALL,cusa,4,0.5,4,29.4,25.5,1.8,2.5,0.7,0.8,12,1.0,0.8,7,Marshall,50.6,35.5,69.9,65.0,35.3,23.1,17.8,12.8,3.3,2.5,365.1,253.5,6.5,6.7,90.6,79.4,43.1,40.9,40.0,43.9,9.8,10.3,2.0,2.5,169.2,203.1,4.2,4.6,-6.04,-4.87,1.7,1.5,0.417,5,534.3,456.6,60.5,55.4,5.9,5.7,2012,
MEMPHIS,cusa,4,0.5,4,17.6,22.3,1.2,2.9,1.8,1.3,12,0.3,0.7,8,Memphis,23.6,36.3,64.3,61.8,15.2,22.4,7.1,11.1,1.3,2.1,166.6,245.6,7.1,4.4,64.3,71.7,30.3,24.4,40.8,35.4,9.3,8.3,1.5,1.3,151.8,138.0,3.7,3.9,-11.09,-5.34,2.0,1.9,0.333,4,318.3,383.6,69.3,39.3,4.9,5.4,2012,
ALABAMA-BIRMINGHAM,cusa,6,0.25,2,22.5,21.6,2.3,1.6,1.2,1.0,12,1.1,0.5,9,UAB,39.9,29.7,58.2,65.2,23.3,19.3,12.5,10.8,1.8,1.8,308.8,244.6,7.3,5.8,74.6,69.4,37.5,28.3,34.7,39.8,7.8,9.3,1.6,2.8,110.3,182.7,3.2,4.6,-11.66,-3.07,2.3,1.5,0.25,3,419.1,427.3,63.4,56.7,5.6,6.2,2012,
SOUTHERN-MISSISSIPPI,cusa,8,0.0,0,17.9,22.2,1.7,1.5,1.3,0.6,12,1.1,0.4,12,Southern Mississippi,26.1,28.2,48.2,64.8,12.6,18.3,7.3,9.7,0.8,1.9,168.3,219.0,4.8,5.5,66.0,69.8,37.8,19.7,39.9,41.7,9.0,11.0,1.4,2.8,154.6,207.5,3.9,5.0,-18.04,-1.29,2.3,1.0,0.0,0,322.8,426.5,40.5,52.8,4.9,6.1,2012,
TULSA,cusa,1,0.875,7,23.1,17.6,1.9,1.6,0.8,1.1,14,0.9,0.9,3,Tulsa,33.6,34.4,52.7,55.9,17.7,19.2,9.0,8.9,1.4,1.4,211.4,228.2,4.5,6.3,82.9,71.5,23.6,34.7,49.2,37.1,12.2,7.2,2.9,1.4,245.7,119.6,5.0,3.2,6.24,-2.34,1.7,1.9,0.786,11,457.1,347.8,41.9,53.4,5.5,4.9,2012,
SOUTHERN-METHODIST,cusa,3,0.625,5,19.2,20.7,1.2,1.1,0.6,1.2,13,1.2,1.6,6,SMU,39.7,41.5,52.9,55.6,21.0,23.1,10.8,13.3,1.2,2.1,235.3,278.2,5.2,6.2,70.5,73.7,25.7,31.0,30.8,32.2,7.1,6.3,1.7,1.1,132.0,117.9,4.3,3.7,1.64,-1.59,1.8,2.8,0.538,7,367.3,396.1,39.8,55.9,5.2,5.4,2012,
RICE,cusa,4,0.5,4,23.5,20.5,1.5,1.4,1.3,1.2,13,0.4,0.8,6,Rice,30.8,29.1,58.9,56.3,18.2,16.4,10.8,9.5,1.5,1.6,225.6,235.2,5.5,5.8,78.9,68.0,30.5,31.8,48.1,38.9,11.3,9.5,2.0,2.3,201.8,190.7,4.2,4.9,-3.52,-4.83,1.7,2.1,0.538,7,427.4,425.9,50.8,52.4,5.4,6.3,2012,
HOUSTON,cusa,4,0.5,4,24.3,26.3,2.1,2.0,1.3,1.0,12,1.7,1.6,7,Houston,49.3,42.5,57.0,59.2,28.1,25.2,14.7,13.3,2.3,2.1,328.4,290.3,6.2,6.7,82.0,85.9,36.0,32.4,32.8,43.4,7.6,11.0,1.5,1.9,151.2,192.8,4.6,4.4,-5.54,-3.54,2.9,2.6,0.417,5,479.6,483.0,53.6,60.5,5.8,5.6,2012,
TEXAS-EL-PASO,cusa,6,0.25,2,19.4,22.3,1.6,1.3,0.8,1.0,12,1.1,0.6,9,UTEP,31.3,32.2,52.7,59.8,16.5,19.3,9.9,10.4,1.3,1.5,224.0,246.0,4.8,4.7,69.3,72.1,29.8,21.2,37.9,39.9,7.9,10.6,1.1,2.0,148.5,194.2,3.9,4.9,-9.29,-1.46,1.9,1.6,0.25,3,372.5,440.2,41.8,40.7,5.4,6.1,2012,
TULANE,cusa,6,0.25,2,17.8,24.9,2.3,2.0,1.1,0.8,12,1.7,1.3,10,Tulane,44.7,31.7,57.8,55.8,25.8,17.7,11.9,10.9,1.9,1.9,279.9,259.7,6.3,5.7,68.0,75.7,38.4,21.4,23.3,44.0,3.7,12.0,0.3,2.5,39.6,222.9,1.7,5.1,-14.23,-1.81,2.8,2.0,0.167,2,319.5,482.6,53.9,54.3,4.7,6.4,2012,
NOTRE-DAME,independent,0,,0,21.6,17.0,1.3,1.2,0.5,0.5,13,0.6,1.2,1,Notre Dame,29.8,33.4,58.2,60.1,17.4,20.1,10.5,10.1,1.1,0.8,222.8,199.8,5.5,5.2,68.8,63.8,12.8,25.8,38.9,30.5,9.8,5.7,1.8,0.3,189.4,105.7,4.9,3.5,16.98,6.14,1.2,1.8,0.923,12,412.2,305.5,42.3,41.8,6.0,4.8,2012,4.0
BRIGHAM-YOUNG,independent,0,,0,23.1,14.7,1.5,1.7,0.6,0.8,13,1.3,0.9,5,BYU,38.3,29.1,59.4,56.6,22.8,16.5,12.2,8.2,1.9,0.9,247.2,179.2,6.2,6.3,77.2,60.8,14.0,28.7,38.8,31.7,9.4,4.8,1.7,0.4,153.2,86.9,3.9,2.7,8.77,-0.61,1.9,1.7,0.615,8,400.4,266.1,53.1,56.5,5.2,4.4,2012,
NAVY,independent,0,,0,21.5,22.4,0.9,0.8,1.1,0.8,13,0.4,0.6,5,Navy,13.2,27.4,57.6,69.1,7.6,18.9,4.5,9.5,0.8,1.2,104.8,215.2,3.7,4.1,67.1,67.5,25.7,25.0,53.8,40.2,16.1,12.1,2.2,1.8,278.5,193.6,5.2,4.8,-1.76,-2.61,1.5,1.5,0.615,8,383.2,408.8,29.1,35.7,5.7,6.1,2012,
ARMY,independent,0,,0,23.6,20.9,0.8,0.9,1.7,0.6,12,0.2,0.6,10,Army,9.6,21.2,44.3,63.8,4.3,13.5,3.1,8.3,0.3,1.6,66.4,195.0,3.9,4.2,76.8,63.6,35.3,24.3,67.2,42.4,19.7,11.8,2.7,2.9,369.8,232.3,5.5,5.5,-14.23,-4.23,1.8,1.2,0.167,2,436.3,427.3,30.1,37.6,5.7,6.7,2012,
KENT-STATE,mac,0,1.0,8,18.9,21.6,1.4,1.3,0.5,1.1,14,0.8,1.6,3,Kent State,25.6,37.2,55.3,60.8,14.1,22.6,7.5,13.0,1.0,1.9,162.5,272.0,5.2,5.0,67.3,73.4,24.5,33.1,41.7,36.2,9.9,7.4,2.6,1.1,225.8,138.3,5.4,3.8,2.75,-6.39,1.3,2.7,0.786,11,388.3,410.3,44.9,47.1,5.8,5.6,2012,
BOWLING-GREEN-STATE,mac,2,0.75,6,19.0,15.2,1.4,1.4,0.4,0.9,13,1.0,0.8,5,Bowling Green,34.0,31.6,54.1,57.9,18.4,18.3,8.8,8.0,1.2,0.8,212.1,190.1,7.1,6.5,68.8,63.4,16.8,22.9,34.8,31.8,8.8,5.8,1.5,1.1,153.4,106.5,4.4,3.4,-0.27,-6.11,1.4,1.7,0.615,8,365.5,296.6,59.6,51.5,5.3,4.7,2012,
OHIO,mac,4,0.5,4,23.2,21.2,2.0,1.7,0.4,0.9,13,0.4,1.0,4,Ohio,30.9,36.5,62.2,56.3,19.2,20.5,10.9,11.1,1.8,2.0,241.5,229.0,5.3,5.3,76.8,72.4,24.8,31.7,45.8,35.9,10.3,8.5,1.8,0.9,203.3,159.4,4.4,4.4,-2.75,-8.06,0.8,1.9,0.692,9,444.8,388.4,50.0,49.2,5.8,5.4,2012,
BUFFALO,mac,5,0.375,3,20.2,19.1,2.4,1.4,1.0,0.3,12,0.8,1.1,8,Buffalo,31.7,28.4,51.6,55.4,16.3,15.8,8.9,9.9,1.4,1.5,199.3,208.3,6.1,5.7,72.2,70.2,28.5,21.3,40.5,41.8,8.8,7.8,1.1,1.8,176.6,155.4,4.4,3.7,-8.78,-3.36,1.8,1.3,0.333,4,375.8,363.7,62.5,56.5,5.2,5.2,2012,
MIAMI-OH,mac,5,0.375,3,20.9,24.7,1.9,1.3,0.6,0.2,12,1.0,1.0,8,Miami (OH),41.3,29.7,62.8,61.0,25.9,18.1,13.3,11.6,2.2,1.4,298.7,226.6,4.8,6.0,69.5,73.8,34.9,23.3,28.3,44.1,5.7,11.8,0.6,2.9,86.6,241.1,3.1,5.5,-11.7,-3.45,1.6,1.2,0.333,4,385.3,467.7,36.9,57.8,5.5,6.3,2012,
MASSACHUSETTS,mac,7,0.125,1,17.2,23.6,1.5,1.4,0.8,0.5,12,1.6,1.1,11,Massachusetts,37.0,29.5,53.4,64.7,19.8,19.1,9.9,11.3,0.8,2.2,186.7,235.8,6.8,7.7,71.2,72.2,40.2,12.7,34.2,42.7,5.8,10.9,0.7,2.8,91.6,225.6,2.7,5.3,-20.97,-3.55,2.3,1.6,0.083,1,278.3,461.3,56.6,64.8,3.9,6.4,2012,
AKRON,mac,8,0.0,0,23.9,24.6,2.3,2.3,0.8,0.7,12,1.5,0.4,11,Akron,48.6,31.7,62.4,61.1,30.3,19.3,15.0,10.9,2.5,2.5,312.8,238.9,8.4,5.9,79.0,74.8,35.7,26.1,30.4,43.1,6.7,11.4,0.8,1.8,114.4,211.1,3.8,4.9,-15.31,-4.31,2.3,1.1,0.083,1,427.2,450.0,66.4,49.5,5.4,6.0,2012,
NORTHERN-ILLINOIS,mac,0,1.0,8,23.3,22.4,1.4,2.0,1.0,0.9,14,0.4,1.1,2,Northern Illinois,29.3,36.4,59.8,55.8,17.5,20.3,10.3,10.4,1.9,0.8,231.4,222.9,5.9,4.7,73.1,78.3,19.9,38.6,43.8,41.9,11.6,10.0,3.1,1.5,238.2,146.4,5.4,3.5,4.64,-7.5,1.4,1.9,0.857,12,469.6,369.3,54.8,44.9,6.4,4.7,2012,22.0
BALL-STATE,mac,2,0.75,6,27.9,24.2,2.4,1.8,0.5,0.5,13,0.8,0.5,4,Ball State,37.8,32.8,64.8,61.8,24.5,20.3,13.9,11.8,2.2,2.2,254.0,255.3,4.7,7.4,79.6,73.0,32.0,33.6,41.8,40.2,11.6,10.6,1.8,1.8,203.2,207.1,4.9,5.2,-1.6,-3.52,1.3,1.1,0.692,9,457.2,462.4,47.2,71.3,5.7,6.3,2012,
TOLEDO,mac,2,0.75,6,22.6,23.7,1.5,2.4,0.7,0.8,13,0.8,1.3,4,Toledo,33.9,38.5,61.5,61.7,20.8,23.8,10.8,13.0,1.5,2.0,252.0,290.8,6.8,5.6,74.0,72.8,28.4,31.5,40.1,34.2,10.2,8.3,1.6,1.5,193.2,182.3,4.8,5.3,-0.18,-4.18,1.5,2.1,0.692,9,445.2,473.2,68.0,52.5,6.0,6.5,2012,
CENTRAL-MICHIGAN,mac,4,0.5,4,20.7,22.1,1.5,1.1,0.5,0.4,13,0.7,1.0,6,Central Michigan,31.8,32.3,59.1,62.1,18.8,20.1,11.0,10.8,1.8,1.8,244.2,241.1,4.2,6.5,63.7,71.6,32.4,28.8,31.9,39.3,8.2,10.2,1.7,2.2,150.5,192.8,4.7,4.9,-7.91,-6.76,1.2,1.4,0.538,7,394.8,433.9,37.5,56.3,6.2,6.1,2012,
WESTERN-MICHIGAN,mac,6,0.25,2,23.7,20.8,1.8,1.6,0.8,0.8,12,1.8,0.7,8,Western Michigan,42.6,32.3,59.5,60.5,25.3,19.5,13.4,11.1,2.3,1.6,289.8,240.8,6.3,6.8,76.3,70.8,29.7,29.3,33.7,38.5,8.4,8.2,1.4,1.8,149.5,155.2,4.4,4.0,-9.54,-7.04,2.6,1.4,0.333,4,439.3,395.9,52.0,57.8,5.8,5.6,2012,
EASTERN-MICHIGAN,mac,7,0.125,1,16.8,23.3,1.3,1.8,0.5,0.8,12,1.3,0.6,10,Eastern Michigan,25.7,29.2,51.6,59.4,13.3,17.3,7.1,9.3,1.6,1.5,171.6,212.8,5.9,5.0,63.0,71.7,37.6,21.3,37.3,42.5,8.3,12.3,1.1,2.8,164.2,267.0,4.4,6.3,-16.61,-3.45,1.8,1.3,0.167,2,335.8,479.8,53.7,43.7,5.3,6.7,2012,
BOISE-STATE,mwc,1,0.875,7,21.3,17.3,1.5,1.4,0.7,1.4,13,0.5,1.4,2,Boise State,30.3,28.9,66.8,58.2,20.2,16.8,11.2,7.6,1.5,0.3,223.2,169.5,4.5,5.2,67.1,68.3,15.8,30.2,36.8,39.4,8.6,8.3,1.9,1.5,168.2,146.2,4.6,3.7,7.85,-5.08,1.2,2.8,0.846,11,391.3,315.6,42.8,41.7,5.8,4.6,2012,18.0
FRESNO-STATE,mwc,1,0.875,7,23.5,17.6,1.7,1.8,0.9,1.0,13,0.6,1.7,4,Fresno State,41.2,29.3,65.8,51.4,27.1,15.1,13.2,7.3,2.9,1.2,325.6,167.2,6.8,5.5,77.4,71.5,23.8,37.9,36.2,42.2,8.5,8.5,1.5,1.5,151.9,171.7,4.2,4.1,6.33,-3.51,1.5,2.7,0.692,9,477.5,338.8,61.5,46.9,6.2,4.7,2012,
SAN-DIEGO-STATE,mwc,1,0.875,7,21.4,21.1,1.9,1.9,1.1,0.9,13,0.8,1.1,4,San Diego State,23.8,34.1,58.9,61.9,14.0,21.1,7.9,10.8,1.6,1.8,175.9,235.5,5.6,5.1,68.2,71.5,24.4,32.8,44.5,37.4,11.5,8.4,2.3,1.2,220.7,133.5,5.0,3.6,2.69,-4.46,1.9,2.0,0.692,9,396.6,369.0,49.1,45.4,5.8,5.2,2012,
AIR-FORCE,mwc,3,0.625,5,22.3,20.8,1.2,0.6,1.6,0.6,13,0.6,0.6,7,Air Force,11.6,26.4,55.0,67.9,6.4,17.9,3.8,10.1,0.7,1.5,102.6,210.6,3.4,4.8,73.5,70.6,29.0,27.4,61.8,44.2,17.2,10.2,3.0,2.1,316.2,198.8,5.1,4.5,-7.35,-6.35,2.2,1.2,0.462,6,418.8,409.4,26.2,37.8,5.7,5.8,2012,
NEVADA,mwc,4,0.5,4,28.9,24.5,1.9,2.3,0.9,0.9,13,0.8,0.5,6,Nevada,31.2,33.0,66.7,55.9,20.8,18.5,12.5,11.3,1.8,2.1,243.8,230.6,6.6,6.4,83.1,74.5,33.8,37.8,51.8,41.5,14.5,10.9,3.2,2.1,271.0,211.8,5.2,5.1,-3.6,-4.76,1.7,1.4,0.538,7,514.8,442.5,63.0,55.5,6.2,5.9,2012,
COLORADO-STATE,mwc,5,0.375,3,18.0,22.9,1.3,2.1,0.9,1.2,12,1.3,0.6,8,Colorado State,29.3,30.3,58.7,60.2,17.2,18.3,9.8,10.1,1.4,2.1,210.2,203.2,6.5,5.0,62.5,73.7,30.3,21.2,33.3,43.3,7.0,10.8,1.0,1.6,128.8,202.4,3.9,4.7,-12.54,-4.21,2.2,1.8,0.333,4,339.0,405.6,64.6,48.8,5.4,5.5,2012,
WYOMING,mwc,5,0.375,3,20.7,24.8,1.9,1.6,0.4,1.2,12,0.7,0.5,8,Wyoming,34.3,31.0,60.6,65.3,20.8,20.3,10.8,11.8,2.4,2.2,265.4,237.9,4.5,6.0,71.0,75.3,33.4,26.8,36.8,44.3,8.0,11.5,1.1,1.9,125.2,232.3,3.4,5.3,-10.78,-4.53,1.1,1.7,0.333,4,390.6,470.3,42.8,53.5,5.5,6.2,2012,
NEVADA-LAS-VEGAS,mwc,6,0.25,2,19.4,22.8,2.2,2.1,0.5,0.6,13,1.3,0.7,11,Nevada-Las Vegas,36.0,28.8,53.4,59.7,19.2,17.2,9.8,9.3,1.4,1.5,218.8,238.2,5.2,6.2,70.8,73.8,32.6,22.0,34.8,45.0,7.5,11.4,1.2,2.2,149.1,207.1,4.3,4.6,-14.57,-4.42,1.8,1.3,0.154,2,367.9,445.2,52.2,60.9,5.2,6.0,2012,
NEW-MEXICO,mwc,7,0.125,1,19.5,21.8,1.5,1.2,0.8,1.1,13,0.3,0.8,9,New Mexico,11.8,32.1,51.3,65.0,6.1,20.8,3.2,12.2,0.4,2.5,68.8,269.2,4.8,5.9,64.8,65.0,30.2,25.8,52.9,32.9,14.8,8.5,2.6,1.5,301.3,174.9,5.7,5.3,-9.91,-5.76,1.1,1.9,0.308,4,370.2,444.2,40.8,47.8,5.7,6.8,2012,
HAWAII,mwc,7,0.125,1,17.2,19.4,2.0,1.8,1.7,0.8,12,1.1,0.8,9,Hawaii,33.2,25.7,51.8,54.9,17.2,14.1,9.1,7.7,1.0,1.7,188.8,182.8,5.9,6.3,69.8,69.2,35.7,21.2,36.6,43.5,6.1,9.9,1.0,2.8,108.6,190.2,3.0,4.4,-13.75,-3.66,2.8,1.6,0.25,3,297.4,372.9,54.0,62.3,4.3,5.4,2012,
STANFORD,pac-12,1,0.889,8,19.0,18.1,1.7,1.7,0.6,0.9,14,0.7,1.1,2,Stanford,28.5,39.3,60.2,61.1,17.1,24.0,9.2,10.3,1.4,0.9,200.1,239.2,6.1,6.1,67.7,71.1,17.2,27.9,39.2,31.9,8.1,6.1,1.6,1.1,174.3,97.0,4.4,3.0,15.58,6.58,1.3,1.9,0.857,12,374.4,336.2,51.1,56.4,5.5,4.7,2012,7.0
OREGON,pac-12,1,0.889,8,27.4,21.2,1.2,2.3,0.8,1.1,13,0.7,2.0,1,Oregon,28.7,39.6,67.0,58.8,19.2,23.3,10.5,10.4,2.7,1.5,222.2,229.2,7.9,5.4,81.4,75.8,21.6,49.6,52.7,36.2,15.7,8.5,3.7,1.2,315.2,144.9,6.0,4.0,23.43,4.05,1.5,3.1,0.923,12,537.4,374.2,71.1,52.1,6.6,4.9,2012,2.0
OREGON-STATE,pac-12,3,0.667,6,23.8,18.7,2.2,1.8,0.5,0.8,13,1.2,1.5,4,Oregon State,38.8,36.2,62.5,59.2,24.2,21.5,13.8,9.5,2.1,1.1,307.1,224.5,6.1,7.2,72.8,68.7,20.6,32.5,34.0,32.5,7.8,7.5,2.0,1.5,124.4,129.5,3.7,4.0,12.14,6.06,1.8,2.4,0.692,9,431.5,354.0,55.7,66.1,5.9,5.2,2012,20.0
WASHINGTON,pac-12,4,0.556,5,19.0,18.4,1.7,2.2,1.1,1.2,13,1.1,1.3,6,Washington,33.7,30.3,60.7,55.1,20.5,16.7,9.8,8.7,1.5,1.3,212.8,197.3,8.3,6.0,69.5,66.5,24.2,24.0,35.8,36.2,7.5,7.5,1.5,1.3,142.4,160.1,4.0,4.4,4.9,4.75,2.2,2.5,0.538,7,355.2,357.4,74.5,51.7,5.1,5.4,2012,
CALIFORNIA,pac-12,7,0.222,2,19.9,24.8,2.1,3.1,1.4,0.8,12,1.1,1.2,9,California,30.5,38.1,57.9,63.5,17.7,24.2,9.3,12.3,1.1,2.7,208.3,271.9,8.3,8.3,68.1,77.8,33.1,23.0,37.6,39.8,8.5,9.5,1.5,1.5,183.0,169.3,4.9,4.3,-0.65,6.1,2.5,1.9,0.25,3,391.3,441.3,83.0,76.2,5.7,5.7,2012,
WASHINGTON-STATE,pac-12,8,0.111,1,20.8,22.8,4.0,1.5,0.8,0.5,12,1.8,1.3,9,Washington State,52.0,34.1,58.2,65.5,30.3,22.3,13.5,12.1,1.9,2.2,330.4,262.7,7.3,8.5,73.0,74.9,33.7,20.4,21.0,40.8,3.3,9.3,0.5,1.8,29.1,163.3,1.4,4.0,-6.89,3.36,2.5,1.8,0.25,3,359.5,425.9,63.7,79.3,4.9,5.7,2012,
UCLA,pac-12,3,0.667,6,23.6,21.5,2.2,3.1,1.0,1.2,14,0.8,1.1,5,UCLA,35.4,34.2,65.3,63.3,23.1,21.6,12.1,10.0,2.1,1.9,275.7,250.6,9.3,6.6,78.2,74.3,27.6,34.4,42.8,40.1,9.3,8.4,2.1,1.4,190.8,165.4,4.5,4.1,8.75,4.75,1.8,2.3,0.643,9,466.5,415.9,91.5,61.4,6.0,5.6,2012,
ARIZONA-STATE,pac-12,4,0.556,5,25.3,19.0,1.8,1.5,0.9,0.7,13,0.9,1.6,5,Arizona State,31.8,30.3,66.6,50.3,21.2,15.2,12.3,7.6,2.5,1.8,259.2,167.9,4.2,6.1,77.8,73.3,24.3,38.4,46.0,43.0,11.2,9.9,2.1,1.3,205.4,182.8,4.5,4.3,9.0,1.77,1.8,2.3,0.615,8,464.5,350.8,34.9,51.6,6.0,4.8,2012,
SOUTHERN-CALIFORNIA,pac-12,4,0.556,5,21.6,22.6,3.0,1.8,1.1,1.0,13,1.5,1.5,6,USC,35.5,33.4,61.6,60.4,21.8,20.2,11.5,10.8,3.0,1.5,282.3,227.0,7.6,8.6,65.6,74.4,24.3,32.1,30.2,41.0,7.1,10.1,0.9,1.3,150.6,167.0,5.0,4.1,10.53,5.76,2.6,2.5,0.538,7,432.9,394.0,62.2,76.0,6.6,5.3,2012,
ARIZONA,pac-12,5,0.444,4,29.3,26.1,3.3,1.8,1.0,1.2,13,1.2,0.9,5,Arizona,41.4,38.5,60.6,61.8,25.1,23.8,13.1,13.0,2.3,1.9,298.4,292.8,6.4,9.5,83.2,83.5,35.3,38.2,41.8,45.0,12.9,11.2,2.5,2.5,227.8,206.2,5.4,4.6,9.38,5.15,2.2,2.1,0.615,8,526.2,499.0,55.1,91.4,6.3,6.0,2012,
UTAH,pac-12,6,0.333,3,17.8,19.6,1.4,2.3,0.8,1.2,12,0.8,0.7,7,Utah,29.3,33.4,62.7,59.9,18.3,20.0,8.7,10.3,1.3,1.5,190.7,235.3,6.9,7.3,66.4,68.0,25.1,26.7,37.2,34.6,7.7,7.0,1.4,1.6,133.8,128.2,3.6,3.7,2.51,3.09,1.5,1.8,0.417,5,324.4,363.4,61.7,59.4,4.9,5.3,2012,
COLORADO,pac-12,8,0.111,1,17.2,24.3,2.1,1.4,1.3,1.0,12,1.6,0.3,11,Colorado,33.7,30.5,55.0,67.8,18.5,20.7,9.2,12.3,0.9,3.3,192.5,262.5,6.1,6.9,69.1,68.7,46.0,17.8,35.4,38.2,5.9,10.6,1.3,2.3,110.3,226.0,3.1,5.9,-12.66,4.51,2.8,1.3,0.083,1,302.8,488.5,57.8,64.1,4.4,7.1,2012,
GEORGIA,sec,1,0.875,7,21.2,19.1,0.9,1.4,0.6,1.2,14,0.8,0.9,2,Georgia,28.5,25.1,63.7,57.0,18.1,14.3,11.5,7.4,2.6,0.9,285.1,175.6,6.9,5.0,66.0,69.1,19.6,37.8,37.5,44.0,8.9,10.2,2.3,1.2,182.6,182.1,4.9,4.1,17.93,4.21,1.4,2.1,0.857,12,467.6,357.8,53.5,39.8,7.1,5.2,2012,5.0
FLORIDA,sec,1,0.875,7,17.4,17.4,1.2,2.5,0.8,0.8,13,0.4,1.5,2,Florida,22.2,34.2,63.5,52.0,14.1,17.8,6.2,9.2,1.0,0.5,146.3,192.5,8.1,5.9,63.6,65.9,14.5,26.5,41.5,31.8,9.9,5.7,1.7,0.9,188.1,94.9,4.5,3.0,17.35,6.82,1.2,2.3,0.846,11,334.4,287.5,68.8,48.6,5.3,4.4,2012,9.0
SOUTH-CAROLINA,sec,2,0.75,6,19.8,17.8,1.5,1.3,0.8,0.7,13,0.7,1.2,2,South Carolina,28.1,29.2,61.6,56.2,17.3,16.4,10.4,8.1,2.2,1.4,238.1,194.8,4.8,4.8,65.8,67.9,18.2,31.5,37.8,38.8,7.9,8.4,1.5,0.7,138.5,120.7,3.7,3.1,15.97,4.51,1.5,1.8,0.846,11,376.5,315.5,40.5,41.2,5.7,4.6,2012,8.0
VANDERBILT,sec,3,0.625,5,18.9,18.2,1.8,1.2,1.0,0.5,13,0.4,0.8,4,Vanderbilt,26.9,33.2,59.1,53.7,15.9,17.8,8.4,8.7,1.3,0.5,213.4,191.8,5.9,6.8,67.2,70.3,18.7,30.0,40.3,37.1,8.8,8.2,1.9,1.3,166.3,142.2,4.1,3.8,9.88,2.26,1.4,1.4,0.692,9,379.7,333.9,44.9,55.1,5.6,4.7,2012,23.0
MISSOURI,sec,6,0.25,2,18.1,20.4,0.7,1.4,0.7,1.3,12,1.2,0.6,7,Missouri,34.5,33.4,55.1,65.1,19.0,21.8,9.5,11.4,1.3,1.6,217.9,241.4,5.6,6.2,72.3,71.0,28.4,25.8,37.8,37.6,7.9,7.6,1.3,2.2,138.5,149.3,3.7,4.0,5.54,9.12,1.8,1.9,0.417,5,356.4,390.7,43.3,46.9,4.9,5.5,2012,
TENNESSEE,sec,7,0.125,1,24.1,22.3,1.4,1.5,0.7,0.4,12,1.2,1.0,7,Tennessee,39.8,37.2,59.7,61.0,23.8,22.7,14.8,12.4,2.9,2.2,315.6,282.5,6.8,5.2,74.2,76.9,35.7,36.2,34.4,39.8,7.8,8.4,1.5,2.1,160.3,188.8,4.7,4.8,4.07,4.82,1.8,1.4,0.417,5,475.9,471.3,52.5,41.4,6.4,6.1,2012,
KENTUCKY,sec,8,0.0,0,17.8,22.3,1.8,1.7,0.5,0.6,12,0.8,0.4,10,Kentucky,32.3,30.6,56.8,67.3,18.3,20.6,8.5,10.6,1.1,1.8,176.3,229.8,4.6,5.3,65.8,70.7,31.0,17.9,33.6,40.1,7.6,10.1,1.1,2.1,138.8,161.3,4.1,4.0,-5.29,5.79,1.3,1.0,0.167,2,315.0,391.0,41.3,39.8,4.8,5.5,2012,
ALABAMA,sec,1,0.875,7,21.6,13.7,0.9,1.0,0.9,0.8,14,0.2,1.3,1,Alabama,23.4,28.4,66.8,54.7,15.6,15.5,9.4,8.2,2.2,0.6,218.0,173.6,3.9,4.8,64.1,59.8,10.9,38.7,40.7,31.4,11.4,4.5,2.6,0.7,227.5,76.4,5.6,2.4,24.51,5.51,1.1,2.1,0.929,13,445.5,250.0,33.4,40.4,6.9,4.2,2012,1.0
TEXAS-AM,sec,2,0.75,6,27.5,21.0,2.2,1.8,0.8,0.3,13,0.8,0.9,2,Texas A&M,37.8,37.3,66.9,57.9,25.3,21.6,13.8,11.2,2.2,1.3,316.5,250.7,6.2,6.9,78.8,74.8,21.8,44.5,41.0,37.5,11.5,8.1,3.5,1.4,242.1,139.5,5.9,3.7,20.05,5.13,1.6,1.2,0.846,11,558.5,390.2,56.5,57.2,7.1,5.2,2012,5.0
LOUISIANA-STATE,sec,2,0.75,6,18.6,18.5,1.2,2.5,0.8,1.2,13,0.5,1.4,3,LSU,27.4,35.2,58.4,55.6,16.0,19.5,8.2,9.7,0.9,1.2,200.5,206.0,7.2,5.5,67.9,69.0,17.5,29.8,40.5,33.8,9.2,6.2,2.2,1.1,173.7,101.6,4.3,3.0,14.76,5.45,1.3,2.5,0.769,10,374.2,307.6,57.9,40.3,5.5,4.5,2012,14.0
